Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
1,1,ORL,Paolo Banchero,Duke,3,157,5411,3386,1095,728,.444,.322,.727,34.5,21.6,7.0,4.6,8.5,.075,0.2,3.0
2,2,OKC,Chet Holmgren,Gonzaga,2,86,2539,1447,692,211,.533,.368,.785,29.5,16.8,8.0,2.5,9.7,.184,3.6,3.6
3,3,HOU,Jabari Smith Jr.,Auburn,3,159,5004,2100,1221,229,.429,.334,.800,31.5,13.2,7.7,1.4,7.8,.075,-2.1,-0.1
4,4,SAC,Keegan Murray,Iowa,3,161,5118,2205,819,233,.452,.383,.810,31.8,13.7,5.1,1.4,9.8,.092,-0.8,1.5
5,5,DET,Jaden Ivey,Purdue,3,156,4689,2495,574,701,.424,.343,.748,30.1,16.0,3.7,4.5,0.8,.009,-3.1,-1.3
6,6,IND,Bennedict Mathurin,Arizona,3,142,3889,2237,575,243,.442,.345,.824,27.4,15.8,4.0,1.7,3.5,.043,-3.5,-1.5
7,7,POR,Shaedon Sharpe,Kentucky,2,112,2838,1299,396,188,.445,.350,.772,25.3,11.6,3.5,1.7,1.7,.028,-3.1,-0.8
8,8,NOP,Dyson Daniels,,3,124,2530,632,441,307,.440,.315,.624,20.4,5.1,3.6,2.5,4.4,.084,-0.5,1.0
9,9,SAS,Jeremy Sochan,Baylor,3,134,3780,1549,807,404,.447,.284,.737,28.2,11.6,6.0,3.0,1.8,.023,-3.5,-1.5
10,10,WAS,Johnny Davis,Wisconsin,3,81,1052,317,138,61,.392,.279,.549,13.0,3.9,1.7,0.8,-0.4,-.020,-7.0,-1.3
11,11,NYK,Ousmane Dieng,,3,76,995,348,171,87,.420,.280,.738,13.1,4.6,2.3,1.1,1.1,.054,-3.1,-0.3
12,12,OKC,Jalen Williams,Santa Clara,3,150,4624,2479,647,594,.527,.388,.805,30.8,16.5,4.3,4.0,13.2,.137,1.2,3.8
13,13,CHO,Jalen Duren,Memphis,3,133,3575,1496,1350,236,.636,.000,.699,26.9,11.2,10.2,1.8,9.8,.132,-0.3,1.5
14,14,CLE,Ochai Agbaji,Kansas,3,142,2990,981,363,157,.426,.329,.741,21.1,6.9,2.6,1.1,1.7,.027,-3.7,-1.3
15,15,CHO,Mark Williams,Duke,2,62,1336,629,488,40,.642,,.702,21.5,10.1,7.9,0.6,4.9,.177,0.3,0.8
16,16,ATL,AJ Griffin,Duke,2,92,1572,687,171,78,.447,.372,.898,17.1,7.5,1.9,0.8,1.8,.053,-1.7,0.1
17,17,HOU,Tari Eason,LSU,3,108,2316,1002,663,121,.454,.346,.733,21.4,9.3,6.1,1.1,4.2,.087,-0.7,0.7
18,18,CHI,Dalen Terry,Arizona,3,102,937,272,154,105,.435,.233,.618,9.2,2.7,1.5,1.0,1.3,.067,-2.1,0.0
19,19,MIN,Jake LaRavia,Wake Forest,3,75,1339,518,221,95,.393,.335,.780,17.9,6.9,2.9,1.3,1.6,.057,-3.0,-0.3
20,20,SAS,Malaki Branham,Ohio State,3,145,3200,1407,337,286,.439,.331,.853,22.1,9.7,2.3,2.0,-0.2,-.004,-5.2,-2.6
21,21,DEN,Christian Braun,Kansas,3,162,2978,1016,508,198,.476,.373,.681,18.4,6.3,3.1,1.2,5.7,.092,-2.0,0.0
22,22,MEM,Walker Kessler,Auburn,3,142,3302,1231,1143,135,.690,.227,.548,23.3,8.7,8.0,1.0,11.5,.168,2.0,3.3
23,23,PHI,David Roddy,Colorado State,3,138,2506,927,419,145,.421,.303,.674,18.2,6.7,3.0,1.1,1.4,.027,-4.3,-1.4
24,24,MIL,MarJon Beauchamp,,3,104,1318,484,214,66,.431,.353,.716,12.7,4.7,2.1,0.6,1.0,.037,-4.1,-0.7
25,25,SAS,Blake Wesley,Notre Dame,3,102,1585,471,179,270,.398,.295,.641,15.5,4.6,1.8,2.6,-0.7,-.020,-6.4,-1.7
26,26,DAL,Wendell Moore Jr.,Duke,3,55,229,60,30,24,.443,.087,.800,4.2,1.1,0.5,0.4,0.2,.036,-2.6,0.0
