NAME,OVERALL_PICK,PLAYER_ID
Pervis Ellison,1,442
Danny Ferry,2,198
Sean Elliott,3,251
Glen Rice,4,779
J.R. Reid,5,462
Stacey King,6,351
George McCloud,7,45
Randy White,8,1839
Tom Hammonds,9,67
Pooh Richardson,10,71
Nick Anderson,11,98
Mookie Blaylock,12,302
Michael Smith,13,63
Tim Hardaway,14,896
Todd Lichti,15,77387
Dana Barros,16,344
Shawn Kemp,17,431
B.J. Armstrong,18,769
Kenny Payne,19,77822
Jeff Sanders,20,1874
Blue Edwards,21,898
Byron Irvin,22,77096
Roy Marble,23,77460
Anthony Cook,24,76433
John Morton,25,1972
Vlade Divac,26,124
Kenny Battle,27,76123
Sherman Douglas,28,428
Dyron Nix,29,77720
Frank Kornet,30,77301
Jeff Martin,31,77474
Stanley Brundy,32,76288
Jay Edwards,33,76643
Gary Leonard,34,77370
Pat Durham,35,1090
Clifford Robinson,36,361
Michael Ansley,37,76050
Doug West,38,28
Ed Horton,39,77060
Dino Radja,40,129
Doug Roth,41,78021
Chucky Brown,43,359
Scott Haffner,45,76911
Ricky Blanton,46,76184
Haywoode Workman,49,906
Brian Quinnett,50,77893
Mike Morrison,51,77649
Greg Grant,52,285
Derrick Coleman,1,934
Gary Payton,2,56
Mahmoud Abdul-Rauf,3,51
Dennis Scott,4,192
Kendall Gill,5,383
Felton Spencer,6,280
Lionel Simmons,7,1489
Bo Kimble,8,77260
Willie Burton,9,416
Rumeal Robinson,10,716
Tyrone Hill,11,238
Alec Kessler,12,77251
Loy Vaught,13,919
Travis Mays,14,77496
Dave Jamerson,15,77114
Terry Mills,16,371
Jerrod Mustaf,17,1054
Duane Causwell,18,190
Dee Brown,19,244
Gerald Glass,20,76821
Jayson Williams,21,420
Tate George,22,76801
Anthony Bonner,23,41
Dwayne Schintzius,24,368
Alaa Abdelnaby,25,76001
Lance Blanks,26,76183
Elden Campbell,27,922
Les Jepsen,28,77129
Carl Herrera,30,61
Negele Knight,31,1861
Brian Oliver,32,1680
Walter Palmer,33,77794
Kevin Pritchard,34,340
Greg Foster,35,323
Trevor Wilson,36,1027
A.J. English,37,76672
Jud Buechler,38,146
Steve Scheffler,39,88
Bimbo Coles,40,902
Marcus Liberty,42,77386
Tony Massenburg,43,763
Steve Henson,44,1667
Antonio Davis,45,213
Kenny Williams,46,78555
Derek Strong,47,400
Cedric Ceballos,48,76
Tony Smith,51,380
